2020-01-31,Santa Clara,California,06085,1,0
2020-02-01,Santa Clara,California,06085,1,0
2020-02-02,Santa Clara,California,06085,2,0
2020-02-03,Santa Clara,California,06085,2,0
2020-02-04,Santa Clara,California,06085,2,0
2020-02-05,Santa Clara,California,06085,2,0
2020-02-06,Santa Clara,California,06085,2,0
2020-02-07,Santa Clara,California,06085,2,0
2020-02-08,Santa Clara,California,06085,2,0
2020-02-09,Santa Clara,California,06085,2,0
2020-02-10,Santa Clara,California,06085,2,0
2020-02-11,Santa Clara,California,06085,2,0
2020-02-12,Santa Clara,California,06085,2,0
2020-02-13,Santa Clara,California,06085,2,0
2020-02-14,Santa Clara,California,06085,2,0
2020-02-15,Santa Clara,California,06085,2,0
2020-02-16,Santa Clara,California,06085,2,0
2020-02-17,Santa Clara,California,06085,2,0
2020-02-18,Santa Clara,California,06085,2,0
2020-02-19,Santa Clara,California,06085,2,0
2020-02-20,Santa Clara,California,06085,2,0
2020-02-21,Santa Clara,California,06085,2,0
2020-02-22,Santa Clara,California,06085,2,0
2020-02-23,Santa Clara,California,06085,2,0
2020-02-24,Santa Clara,California,06085,2,0
2020-02-25,Santa Clara,California,06085,2,0
2020-02-26,Santa Clara,California,06085,2,0
2020-02-27,Santa Clara,California,06085,2,0
2020-02-28,Santa Clara,California,06085,3,0
2020-02-29,Santa Clara,California,06085,4,0
2020-03-01,Santa Clara,California,06085,7,0
2020-03-02,Santa Clara,California,06085,9,0
2020-03-03,Santa Clara,California,06085,11,0
2020-03-04,Santa Clara,California,06085,14,0
2020-03-05,Santa Clara,California,06085,20,0
2020-03-06,Santa Clara,California,06085,24,0
2020-03-07,Santa Clara,California,06085,32,0
2020-03-08,Santa Clara,California,06085,37,0
2020-03-09,Santa Clara,California,06085,43,1
2020-03-10,Santa Clara,California,06085,45,1
2020-03-11,Santa Clara,California,06085,48,1
2020-03-12,Santa Clara,California,06085,66,1
2020-03-13,Santa Clara,California,06085,79,2
2020-03-14,Santa Clara,California,06085,91,2
2020-03-15,Santa Clara,California,06085,114,2
2020-03-16,Santa Clara,California,06085,138,4
2020-03-17,Santa Clara,California,06085,155,5
2020-03-18,Santa Clara,California,06085,175,6
2020-03-19,Santa Clara,California,06085,189,6
2020-03-20,Santa Clara,California,06085,196,8
2020-03-21,Santa Clara,California,06085,263,8
2020-03-22,Santa Clara,California,06085,303,11
2020-03-23,Santa Clara,California,06085,321,11
2020-03-24,Santa Clara,California,06085,375,17
2020-03-25,Santa Clara,California,06085,459,18
2020-03-26,Santa Clara,California,06085,542,20
2020-03-27,Santa Clara,California,06085,574,21
2020-03-28,Santa Clara,California,06085,591,26
2020-03-29,Santa Clara,California,06085,646,26
2020-03-30,Santa Clara,California,06085,848,29
